Structure,Structure_ID,612285_Ki(nM),612286_IC50(nM),Data,calc_logP,calc_TPSA,SMILES
603928,603928,1430,100000,0.049,5.6,90,CC5=CC=CC(=C5)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=C3)C1=CC=CC=C1)C2=CC=CC=C2
604331,604331,2710,100000,3.2,4.7,91.8,CCCCCCN3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
561054,561054,150,100000,3.3,5,102.8,CC5=CC=CC(=C5)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C2=CC=CC=C2
604330,604330,3590,100000,4.2,4.3,91.8,CCCCCN3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603929,603929,1310,100000,4.9,4,90,CC4=CC=CC(=C4)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=C2)C1=CC=CC=C1
604261,604261,8.6,10000,5.1,5.3,129.1,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)CC2CCCCC2
604329,604329,3800,100000,5.5,3.8,91.8,CC(C)CN3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603600,603600,6,42000,5.8,4.2,103.9,CCCCCNC(=S)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
604274,604274,3800,100000,6.1,3.5,91.8,CCCN3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603867,603867,733,50000,6.2,3.4,91.8,CCOC(=O)N4CCN(CC4)C(=O)CNC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C2=CC=CC=C2
603524,603524,8,56000,6.7,3.8,103.9,CCCCNC(=S)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603612,603612,5.8,10000,6.7,5.5,150.5,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)NC(=O)N2CCCCC2
603749,603749,373,100000,6.7,4.3,116.3,CCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=C3)C1=CC=CC=C1)C2=CC=CC=C2
604555,604555,1880,100000,6.8,4,108.9,CC(C)(C)OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N4CCN(CC4)C(=O)C3=CC=CC=C3
603437,603437,54,100000,6.9,4.4,120.9,CCCCCCNC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603438,603438,842,100000,7,4.3,120.9,CC(C)(C)OC(=O)CCC(NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1)C(=O)N4CCN(CC4)C(=O)NC3=CC=CC=C3
604477,604477,1430,100000,7.1,3.8,108.9,CCCCC(=O)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603927,603927,5700,100000,7.5,3.4,102.8,CC4=CC=CC(=C4)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC=N2)C1=CC=CC=C1
555798,555798,5700,100000,7.5,3.4,102.8,CC4=CC=CC(=C4)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603523,603523,42,81000,7.5,3.4,103.9,CCCNC(=S)N3CCN(CC3)C(=O)C(CCC(=O)OC(C)(C)C)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603433,603433,89,97000,7.7,4.8,138.4,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)OCCCC
604174,604174,2.6,1200,7.7,4.6,135.6,CCCCCCOC(=O)N5CCN(CC5)C(=O)C(CCC(=O)O)NC(=O)C4=CC(=CC(=N4)C1=CC=CC=C1)N3CCC(CC3)N2CCCC2
604178,604178,22,8900,7.8,4.8,141.6,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(COCCC)CC2
